month,country,age_group,share_of_messages
2024-08-01,ID,45-54,0.040
2024-08-01,ID,55-64,0.011
2024-08-01,ID,65+,0.009
2024-08-01,IE,18-24,0.133
2024-08-01,IE,25-34,0.399
2024-08-01,IE,35-44,0.295
2024-08-01,IE,45-54,0.093
2024-08-01,IE,55-64,0.058
2024-08-01,IE,65+,0.023
2024-08-01,IL,18-24,0.207
2024-08-01,IL,25-34,0.438
2024-08-01,IL,35-44,0.209
2024-08-01,IL,45-54,0.113
2024-08-01,IL,55-64,0.024
2024-08-01,IL,65+,0.009
2024-08-01,IN,18-24,0.399
2024-08-01,IN,25-34,0.428
2024-08-01,IN,35-44,0.120
2024-08-01,IN,45-54,0.038
2024-08-01,IN,55-64,0.010
2024-08-01,IN,65+,0.005
2024-08-01,IQ,18-24,0.276
2024-08-01,IQ,25-34,0.472
2024-08-01,IQ,35-44,0.168
2024-08-01,IQ,45-54,0.085
2024-08-01,IQ,55-64,0.000
2024-08-01,IQ,65+,0.000
2024-08-01,IT,18-24,0.222
2024-08-01,IT,25-34,0.391
2024-08-01,IT,35-44,0.177
2024-08-01,IT,45-54,0.114
2024-08-01,IT,55-64,0.071
2024-08-01,IT,65+,0.025
2024-08-01,JO,18-24,0.413
2024-08-01,JO,25-34,0.336
2024-08-01,JO,35-44,0.172
2024-08-01,JO,45-54,0.046
2024-08-01,JO,55-64,0.032
2024-08-01,JO,65+,0.000
2024-08-01,JP,18-24,0.221
2024-08-01,JP,25-34,0.386
2024-08-01,JP,35-44,0.206
2024-08-01,JP,45-54,0.128
2024-08-01,JP,55-64,0.049
2024-08-01,JP,65+,0.011
2024-08-01,KE,18-24,0.296
2024-08-01,KE,25-34,0.452
2024-08-01,KE,35-44,0.183
2024-08-01,KE,45-54,0.051
2024-08-01,KE,55-64,0.007
2024-08-01,KE,65+,0.012
2024-08-01,KH,18-24,0.312
2024-08-01,KH,25-34,0.421
2024-08-01,KH,35-44,0.248
2024-08-01,KH,45-54,0.000
2024-08-01,KH,55-64,0.018
2024-08-01,KH,65+,0.000
2024-08-01,KR,18-24,0.147
2024-08-01,KR,25-34,0.450
2024-08-01,KR,35-44,0.220
2024-08-01,KR,45-54,0.129
2024-08-01,KR,55-64,0.045
2024-08-01,KR,65+,0.009
2024-08-01,KZ,18-24,0.338
2024-08-01,KZ,25-34,0.405
2024-08-01,KZ,35-44,0.144
2024-08-01,KZ,45-54,0.085
2024-08-01,KZ,55-64,0.023
2024-08-01,KZ,65+,0.004
2024-08-01,LB,18-24,0.299
2024-08-01,LB,25-34,0.447
2024-08-01,LB,35-44,0.174
2024-08-01,LB,45-54,0.022
2024-08-01,LB,55-64,0.028
2024-08-01,LB,65+,0.030
2024-08-01,LK,18-24,0.357
2024-08-01,LK,25-34,0.466
